NUMBR	DIST	DATA	    ASTRDAY	HR	MIN	V1	V2	V3	  TAU1  	TAU2 
1	163	01.25.72	24	5	23	34,000	27,257	30,535	-18,0375	-21,9851
2	160	01.25.72	24	5	33	43,382	40,135	48,730	-19,6553	-2,7154
3	200	01.25.72	24	6	7	33,858	33,832	33,965	-12,7572	-17,5536
4	261	01.25.72	24	6	27	56,360	60,908	55,398	-12,5536	-0,3927
5	405	01.25.72	24	6	47	53,251	999,999	999,999	-9,7767	        15,8344
6	174	01.25.72	24	6	48	53,248	48,087	44,352	-13,6516	-11,8290
7	130	01.25.72	24	6	48	999,999	45,906	999,999	-33,8422	-12,1835
8	222	01.25.72	24	7	7	32,609	33,577	32,216	-17,2935	-9,9470
9	502	01.25.72	24	7	21	64,164	67,170	48,925	-9,6723	         3,5001
10	224	01.25.72	24	7	43	20,577	999,999	999,999	-11,4785	74,5859
11	93	01.25.72	24	7	47	28,308	27,206	28,370	-12,9222	-67,8551
12	375	01.25.72	24	7	58	44,230	999,999	45,823	-16,2579	3,7512
13	142	01.25.72	24	8	7	52,354	999,999	999,999	-15,0121	32,9748
14	175	01.25.72	24	8	16	999,999	999,999	28,772	-11,7606	-23,8981
15	406	01.25.72	24	8	31	33,967	35,090	36,021	0,3791	        -12,6317
16	150	01.25.72	24	8	38	42,954	41,164	38,056	-21,8729	5,2477
17	193	01.25.72	24	8	41	52,187	51,189	53,197	-15,6383	-3,0392
18	217	01.25.72	24	8	42	49,709	999,999	999,999	-13,8724	10,0370
19	203	01.25.72	24	8	49	53,564	54,788	54,790	-13,4362	-6,8672
20	270	01.25.72	24	8	53	51,867	61,191	59,070	-13,2534	-1,8666
21	258	01.25.72	24	10	7	32,530	37,048	41,265	-14,9122	-19,2067
22	247	01.25.72	24	10	5	45,592	45,945	47,615	-3,9253	       -29,1214
23	231	01.25.72	24	10	7	51,254	51,142	49,875	-16,9790	5,0876
24	201	01.25.72	24	10	15	32,990	29,201	33,032	-13,9240	-21,1724
25	392	01.25.72	24	10	19	22,042	20,891	999,999	3,8717	       -33,0103
26	188	01.25.72	24	10	23	26,456	29,104	27,410	-9,1047	       -36,0025
27	151	01.25.72	24	10	24	39,056	39,521	37,512	2,0432	       -38,3728
28	224	01.25.72	24	10	26	35,233	32,676	29,477	-10,4457	-27,6101
29	146	01.25.72	24	11	14	29,280	31,026	999,999	-22,4361	-20,4910
30	166	01.25.72	24	11	17	34,324	35,422	34,635	-11,9995	-29,4358
31	170	01.25.72	24	11	17	34,353	33,182	36,753	-16,5975	-24,9942
32	157	01.25.72	24	11	41	33,945	999,999	36,623	-25,3919	-14,4337
33	155	01.25.72	24	12	5	29,217	25,875	25,179	-11,6750	-41,7343
34	203	01.25.72	24	12	4	36,309	35,990	35,629	-17,0970	-13,9540
35	210	01.25.72	24	12	6	41,688	37,351	47,300	-5,8655	        -23,1262
36	194	01.25.72	24	12	12	46,791	52,213	999,999	-8,7817	        -34,7150
37	128	01.25.72	24	12	18	30,177	29,725	29,022	-10,2519	-48,8980
38	201	01.25.72	24	12	22	32,022	29,914	33,504	-7,3044	        -31,4821
39	138	01.25.72	24	12	56	30,557	30,659	28,503	-5,5772	        -51,5643
40	151	01.25.72	24	13	18	42,354	36,908	41,105	-1,9535	        -33,9346
41	179	01.25.72	24	13	42	24,995	999,999	23,584	-31,3902	-16,9676
42	135	01.25.72	24	14	13	31,466	32,798	999,999	-4,4984	        -45,9563
43	157	01.25.72	24	14	34	999,999	26,775	28,469	8,0898	        -47,0213
44	232	01.26.72	25	2	27	30,921	31,547	25,879	-25,8345	-6,6486
45	175	01.26.72	25	2	29	25,249	25,419	33,279	-38,2249	10,2665
46	167	01.26.72	25	2	44	24,492	31,708	31,805	-22,7925	-2,5392
47	199	01.26.72	25	2	46	18,547	19,232	20,248	-9,1662	       -45,6201
48	181	01.26.72	25	3	14	23,807	24,700	24,703	-27,8389	-19,8125
49	141	01.26.72	25	3	18	27,118	27,631	22,811	-34,9031	11,5793
50	386	01.26.72	25	3	27	35,273	999,999	33,406	-28,3345	15,1446
