"NUMBR,N,6,0","DIST,N,4,0","DATA,D","ASTRDAY,N,3,0","HR,N,2,0","MIN,N,2,0","V1,N,7,3","V2,N,7,3","V3,N,7,3","TAU1,N,8,4","TAU2,N,8,4"
1,127,01/02/78,1,9,28,52.749,999.999,999.999,-1.6660,-0.6077
2,403,01/02/78,1,9,32,38.697,43.410,34.677,-3.7283,-1.2884
3,176,01/02/78,1,9,36,37.926,35.634,38.270,21.5285,-0.1995
4,222,01/02/78,1,9,38,999.999,40.449,48.653,-0.3546,-0.4945
5,127,01/02/78,1,9,39,21.303,26.152,21.978,-0.1618,-0.4031
6,212,01/02/78,1,9,41,34.457,34.823,33.710,-0.4648,-0.0751
7,191,01/02/78,1,9,43,41.610,37.825,41.246,-0.6660,-0.7679
8,142,01/02/78,1,10,15,60.086,47.979,52.294,-32.4136,-0.0415
9,163,01/02/78,1,10,15,43.850,999.999,49.511,-0.6399,-0.3535
10,186,01/02/78,1,10,19,36.651,999.999,36.379,-0.6944,0.0122
11,179,01/02/78,1,10,19,30.338,30.122,30.484,-0.0721,0.3130
12,177,01/02/78,1,10,20,42.949,40.823,42.498,-0.0228,0.0206
13,126,01/02/78,1,10,22,45.238,47.268,41.904,0.0758,-0.0047
14,209,01/02/78,1,10,25,49.153,999.999,999.999,4.9064,-0.1845
15,143,01/02/78,1,10,26,48.256,53.199,999.999,-8.8018,-27.5787
16,164,01/02/78,1,10,28,999.999,49.037,49.604,-12.9214,-13.5505
17,157,01/02/78,1,10,30,48.502,999.999,999.999,-23.4482,-4.1209
18,197,01/02/78,1,10,31,999.999,35.247,999.999,-1.2425,-1.0101
19,169,01/02/78,1,10,35,33.299,999.999,34.586,-0.2352,-0.3186
20,296,01/02/78,1,10,37,33.338,999.999,33.716,-0.5168,0.0543
21,397,01/02/78,1,10,37,33.719,34.143,34.130,-0.2895,-0.4633
22,179,01/02/78,1,10,39,37.744,999.999,39.357,-0.3868,-0.4495
